CodeL1,PCode,PlanName,Account1,Rate,UseYN
4201020106.101,P12,รายได้อื่น,รายได้แผ่นดิน-เงินชดใช้จากการผิดสัญญาการศึกษาและดูงาน,1.0,Yes
4201020199.101,P12,รายได้อื่น,รายได้แผ่นดิน-ค่าปรับอื่น,1.0,Yes
4202010199.101,P12,รายได้อื่น,รายได้ค่าธรรมเนียมการบริการอื่น,1.0,Yes
4202020102.101,P12,รายได้อื่น,รายได้ค่าเช่าอสังหาริมทรัพย์จากบุคคลภายนอก,1.0,Yes
4202030105.101,P12,รายได้อื่น,รายได้แผ่นดิน-ค่าขายของเบ็ดเตล็ด,1.0,Yes
4203010101.101,P12,รายได้อื่น,รายได้ดอกเบี้ยเงินฝากที่สถาบันการเงิน,1.0,Yes
4205010104.101,P12,รายได้อื่น,รายรับจากการขายอาคารและสิ่งปลูกสร้าง,1.0,Yes
4205010110.101,P12,รายได้อื่น,รายรับจากการขายครุภัณฑ์,1.0,Yes
4206010102.101,P12,รายได้อื่น,รายได้เงินเหลือจ่ายปีเก่า/รายที่ไม่ใช่ภาษีอื่น,1.0,Yes
4206010199.101,P12,รายได้อื่น,บัญชีรายได้ที่ไม่ใช่ภาษีอื่น,1.0,Yes
4207010102.102,P12,รายได้อื่น,รายได้แผ่นดิน-ค่าปรับอื่นจ่ายคืน,1.0,Yes
4301010102.101,P10,รายได้ค่ารักษาและบริการอื่น ๆ,รายได้จากการจำหน่ายยาสมุนไพร -บุคคลภายนอก,1.0,Yes
4301010102.102,P10,รายได้ค่ารักษาและบริการอื่น ๆ,รายได้จากการจำหน่ายสินค้าอื่น ๆ -บุคคลภายนอก,1.0,Yes
4301010102.103,P10,รายได้ค่ารักษาและบริการอื่น ๆ,รายได้จากการจำหน่ายยาสมุนไพร -หน่วยงานภาครัฐ,1.0,Yes
4301010102.104,P10,รายได้ค่ารักษาและบริการอื่น ๆ,รายได้จากการจำหน่ายสินค้าอื่น ๆ -หน่วยงานภาครัฐ,1.0,Yes
4301020102.101,P10,รายได้ค่ารักษาและบริการอื่น ๆ,รายได้ค่าสิ่งส่งตรวจ - บุคคลภายนอก,1.0,Yes
4301020102.102,P10,รายได้ค่ารักษาและบริการอื่น ๆ,รายได้ค่าตรวจสุขภาพ - บุคคลภายนอก,1.0,Yes
4301020102.103,P10,รายได้ค่ารักษาและบริการอื่น ๆ,รายได้ค่าสิ่งส่งตรวจ - หน่วยงานภาครัฐ,1.0,Yes
4301020102.104,P07,รายได้ค่ารักษาเบิกจ่ายตรงกรมบัญชีกลาง,รายได้ค่าตรวจสุขภาพ-หน่วยงานภาครัฐ,1.0,Yes
4301020102.105,P05,รายได้จาก  EMS,รายได้จากระบบปฏิบัติการฉุกเฉิน (EMS),1.0,Yes
4301020102.106,P10,รายได้ค่ารักษาและบริการอื่น ๆ,รายได้สนับสนุนยาและอื่น ๆ,1.0,Yes
4301020104.104,P06,รายได้ค่ารักษาเบิกต้นสังกัด,รายได้ค่ารักษาเบิกต้นสังกัด OP,1.0,Yes
4301020104.105,P06,รายได้ค่ารักษาเบิกต้นสังกัด,รายได้ค่ารักษาเบิกต้นสังกัด IP,1.0,Yes
4301020104.106,P10,รายได้ค่ารักษาและบริการอื่น ๆ,รายได้ค่ารักษาชำระเงิน OP,1.0,Yes
4301020104.107,P10,รายได้ค่ารักษาและบริการอื่น ๆ,รายได้ค่ารักษาชำระเงิน IP,1.0,Yes
4301020104.108,P06,รายได้ค่ารักษาเบิกต้นสังกัด,รายได้ค่ารักษาเบิกจ่ายตรง-หน่วยงานอื่น - OP,1.0,Yes
4301020104.109,P06,รายได้ค่ารักษาเบิกต้นสังกัด,รายได้ค่ารักษาเบิกจ่ายตรงหน่วยงานอื่น-IP,1.0,Yes
